공정율,날씨,지역,공사비,공종소분류,사고년도,사고월,사고시간,성별,국적,나이,사고신고사유
20~29%,맑음,경기도,10억 ~ 20억원 미만,기타,2019,07,07,1,1,50,3일이상 휴업이 필요한 부상
60~69%,맑음,경기도,"1,000억원 이상",가설공사,2019,07,09,1,1,50,3일이상 휴업이 필요한 부상
90% 이상,맑음,인천광역시,"500억 ~ 1,000억원 미만",가설공사,2019,07,10,1,1,60,3일이상 휴업이 필요한 부상
50~59%,맑음,경기도,"500억 ~ 1,000억원 미만",전기설비공사,2019,07,10,1,1,50,3일이상 휴업이 필요한 부상
20~29%,흐림,경기도,"1,000억원 이상",기타,2019,07,10,1,1,60,3일이상 휴업이 필요한 부상
90% 이상,흐림,부산광역시,"2,000만 ~ 4,000만원 미만",기타,2019,07,13,0,1,50,3일이상 휴업이 필요한 부상
30~39%,흐림,울산광역시,100억 ~ 150억원 미만,전기설비공사,2019,07,13,1,1,50,3일이상 휴업이 필요한 부상
60~69%,맑음,서울특별시,100억 ~ 150억원 미만,기타,2019,07,14,1,1,50,3일이상 휴업이 필요한 부상
10% 미만,맑음,경기도,"500억 ~ 1,000억원 미만",가설공사,2019,07,16,1,1,50,3일이상 휴업이 필요한 부상
30~39%,흐림,충청남도,"1,000억원 이상",건축 토공사,2019,07,17,1,1,40,3일이상 휴업이 필요한 부상
50~59%,맑음,경상남도,"1,000억원 이상",전기설비공사,2019,07,07,1,1,50,3일이상 휴업이 필요한 부상
50~59%,맑음,경기도,10억 ~ 20억원 미만,가설공사,2019,07,07,1,0,60,3일이상 휴업이 필요한 부상
10% 미만,맑음,경상북도,200억 ~ 300억원 미만,기타,2019,07,07,1,1,50,3일이상 휴업이 필요한 부상
60~69%,맑음,경상북도,5억 ~ 10억원 미만,철골공사,2019,07,07,1,1,40,3일이상 휴업이 필요한 부상
10~19%,맑음,경기도,"1,000억원 이상",토공사,2019,07,09,1,1,50,3일이상 휴업이 필요한 부상
90% 이상,맑음,서울특별시,150억 ~ 200억원 미만,전기설비공사,2019,07,10,1,1,40,3일이상 휴업이 필요한 부상
30~39%,맑음,전라북도,50억 ~ 100억원 미만,가설공사,2019,07,10,1,0,20,3일이상 휴업이 필요한 부상
10~19%,흐림,경기도,"1,000억원 이상",철근콘크리트공사,2019,07,11,1,1,40,3일이상 휴업이 필요한 부상
90% 이상,맑음,대구광역시,"1,000억원 이상",해체 및 철거공사,2019,07,11,1,1,40,3일이상 휴업이 필요한 부상
90% 이상,맑음,전라남도,300억 ~ 500억원 미만,토공사,2019,07,11,1,1,30,3일이상 휴업이 필요한 부상
60~69%,맑음,경기도,"1,000억원 이상",가설공사,2019,07,12,1,1,40,3일이상 휴업이 필요한 부상
50~59%,맑음,경상북도,"1,000억원 이상",가설공사,2019,07,13,1,1,50,3일이상 휴업이 필요한 부상
50~59%,맑음,경기도,"2,000만 ~ 4,000만원 미만",토공사,2019,07,14,1,1,60,3일이상 휴업이 필요한 부상
60~69%,맑음,세종특별자치시,"1,000억원 이상",기타,2019,07,14,1,1,30,3일이상 휴업이 필요한 부상
